,artist_name,track_name,track_id,popularity,release_date
57,Armin van Buuren,Another You - CID Remix,4xRjLDNEMDhafYfo72iZp2,32,2015-08-15
58,Armin van Buuren,Popcorn,26cBeq7bcyhwTGRUmzKeI9,37,2018-06-08
59,Armin van Buuren,Dominator,2PE8Sj15gIL7YET4gxwO1u,39,2016-06-30
60,Armin van Buuren,Blah Blah Blah - Bassjackers Remix,2r91Z6HKU90H4UtQpufff7,40,2018-07-06
61,Armin van Buuren,This Is What It Feels Like - W&W Radio Edit,5ScnlX18hRpXLKDsjk0jt1,35,2013-05-03
62,Armin van Buuren,Our Origin - Extended Mix,6N5TNlYhmpuynRBlyXScV4,44,2018-07-23
63,Armin van Buuren,I Need You (feat. Olaf Blackwood) - DubVision Remix,3dN0wAkMTGZkm8YhXxOjsV,32,2017-05-10
64,Armin van Buuren,Therapy - Club Mix,6TUTsn9vgyM0XdgruKrcAP,30,2018-05-03
65,Armin van Buuren,Waiting For The Night,4GWvgFrT15S623rdKEzH4y,39,2013-01-21
66,Armin van Buuren,In and Out of Love - Lost Frequencies Remix,1xBllaLLqG93cFBMi8vmec,41,2015-03-16
67,Armin van Buuren,Heading Up High - First State Remix,41G6VuXfRzebcrFFz4MfSH,33,2016-02-05
68,Armin van Buuren,Lonely For You - ATFC Vocal Mix,3aFm4AsJbRJsJjnbMI6nRk,36,2019-03-22
69,Armin van Buuren,Sunny Days - Tritonal Remix,3p4tKwFHU0HWt8SiEvbnJn,30,2017-09-08
70,Armin van Buuren,I Need You (feat. Olaf Blackwood) - Galactic Marvl Remix,2hCFJ04JVQOeq4nVCR4KQT,29,2017-04-28
71,Armin van Buuren,If It Ain't Dutch,0cfrZ37odJuW5wWaMytlHB,38,2015-12-21
72,Armin van Buuren,Ping Pong,4GqvWKAq6uKAcivJGnNAhR,40,2014-03-28
73,Armin van Buuren,This Is What It Feels Like - W&W Remix,2jx4gzu1Z2bgvCUWtC86Q9,34,2013-05-03
74,Armin van Buuren,Yet Another Day,6cACdG597u2QM1k5S2PzEg,39,2003-06-02
75,Armin van Buuren,Blah Blah Blah,4i8z2IDosFUPuUwXJ9PQHr,32,2018-06-08
76,Armin van Buuren,Ping Pong - Hardwell Extended Remix,5oi1kTWquhl2gouWtWKxC8,38,2014-04-28
77,Armin van Buuren,Another You - Pretty Pink Remix,0JybKJgYbP9cbz1BxWlvP6,34,2015-06-19
78,Armin van Buuren,This Is What It Feels Like - John Ewbank Classical Remix,77Rx3xMZWX1NxEUnFwQavQ,33,2013-11-08
79,Armin van Buuren,Blah Blah Blah - Kid Comet Remix,3JXKHsPqJAPE9fEgiBxIS9,31,2018-07-06
80,Armin van Buuren,Therapy - Throttle Remix,4VVGvTcPHuEKLQvUWovg62,32,2018-06-01
81,Armin van Buuren,Drowning - Avicii Remix,6q0f0zpByDs4Zk0heXZ3cO,37,2011-02-28
82,Armin van Buuren,Freefall - Manse Remix,6ciGkYEEqNtesCLLKxeobq,31,2016-04-29
83,Armin van Buuren,Therapy - Extended Club Mix,4MRMuTQwea3ZuzGbiLrvpc,35,2018-05-03
84,Armin van Buuren,Strong Ones - Dave Winnel Remix,3fLkTlRoT9tOxLRS9aL9K0,48,2015-11-06
85,Armin van Buuren,The Race,4pcltM0fCP5BUAelU6vVHY,37,2016-08-19
86,Armin van Buuren,Therapy - Sebastian Davidson Remix,5a2TuGiWm27kRcfg9rxn2d,29,2018-08-07
87,Armin van Buuren,"Sex, Love & Water - Loud Luxury Remix",4eumXgP3QCmhgsFiVYnUCJ,28,2018-03-16
88,Armin van Buuren,Pull Over,0tj7NF1dlGwfIdGu1bQdqr,36,2016-07-21
89,Armin van Buuren,My Symphony (The Best Of Armin Only Anthem),42TbsYnQWMUARwO3pCxWXY,38,2017-05-05
90,Armin van Buuren,Lifting You Higher (ASOT 900 Anthem) - Andrew Rayel Remix,1hldB5STskdaZwHAycTcz6,32,2019-02-22
91,Armin van Buuren,J'ai Envie De Toi - Original Mix,5DMjRVFtZG3vDOGXJSplpm,33,2012-03-05
92,Armin van Buuren,The Last Dancer,2e9eNOK6KfJfkAxQXs6gMz,32,2018-06-08
93,Armin van Buuren,Make It Right - Ilan Bluestone & Maor Levi Remix,6XhIC0ypYQyPTfUlsPdHci,26,2016-11-11
94,Armin van Buuren,"Sex, Love & Water - Loud Luxury Remix",7F5so0qdnedWtH1CaAOsgT,29,2018-04-06
95,Armin van Buuren,J'ai Envie De Toi - Radio Edit,3bupH9r8ZlCeLGMvlyL7rE,32,2012-03-05
96,Armin van Buuren,The Last Dancer - Extended Mix,6goISm8AnCkw2xcNqVF9Nn,35,2018-03-22
97,Armin van Buuren,Indestructible - Protoculture Remix,34hlWGZEINlIxWqJMmwrfR,33,2016-11-03
98,Armin van Buuren,Strong Ones,3SU5cPobYDTSC2VmBi2efg,33,2015-10-16
99,Armin van Buuren,Heading Up High - Years Remix,3Umf6TtIacGOjOn5MFWs1N,28,2016-02-05
100,Armin van Buuren,I Need You (feat. Olaf Blackwood) - ANGEMI Remix,5QydE3z3ZOnK0b0X1aMkln,33,2017-04-28
101,Armin van Buuren,Therapy - Leo Reyes Remix,46MANcr2TMGC56JHJ55qYW,33,2018-06-15
102,Armin van Buuren,Fine Without You - Extended mix,1L2vPdMFAeLLDKwcU4Qqp1,26,2009-05-25
103,Armin van Buuren,"Sex, Love & Water - Sunnery James & Ryan Marciano Remix",7ADRwGz1ZXJxxNw95c9QmY,31,2018-04-06
104,Armin van Buuren,Save My Night - Radio Edit,1vrTluXpA8yThSE2rq21Sy,33,2013
105,Armin van Buuren,Heading Up High,3Yqes2COusE3Ntl0fK8UFq,33,2016-02-05
106,Armin van Buuren,Another You - Mark Sixma Radio Edit,2jS4PKTSK8UaqUnEf31FaP,29,2015-05-08
107,Armin van Buuren,Lonely For You,4truzQhk6a83uVmuXdJDZo,31,2019-03-22
108,Armin van Buuren,The Last Dancer,5WNeYAsW0vLWq4X1VyHRJ9,32,2018-03-22
109,Armin van Buuren,Beautiful Life - Mikkas Remix,1VZVlQxMFvRIDAwqX1C2RU,19,2013-12-06
110,Armin van Buuren,We Are Here To Make Some Noise - Radio Edit,4PCmMG7o6TF6FiMFsk76c0,29,2012-05-09
111,Armin van Buuren,Blah Blah Blah - TRU Concept Remix,4VKzINURR8BncGFai0yhMS,33,2018-07-06
112,Armin van Buuren,Blah Blah Blah - Brennan Heart & Toneshifterz Remix,1zR0HNJs4CbigcTSYHg5v2,40,2018-09-17
113,Armin van Buuren,The Sound of Goodbye - Above & Beyond US Radio Edit,4CFDO0rOKDdewfL4RSUeA0,27,2011-08-25
114,Armin van Buuren,Just As You Are,3uLQpu1uvMSZnUvyLvMtCa,30,2018-06-08
115,Armin van Buuren,Feels So Good,5173EmOj6tDEg4bP5LO3ws,31,2011-07-04
116,Armin van Buuren,Embrace - Lowland Classical Remix,7B6aUliCHEhaWDaUBZGWqj,26,2016-05-19
117,Armin van Buuren,I Need You (feat. Olaf Blackwood) - Filatov & Karas Remix,7w7v2PqgEQLNVVw2Ticc6w,29,2017-02-10
118,Armin van Buuren,EIFORYA - Original Mix,3D4fpxF53q5zVc5lwzBUff,29,2014-04-14
119,Armin van Buuren,Another You - Festival Version,7pTN9CDYRgGfLYl5HtQfOz,27,2015-04-21
120,Armin van Buuren,Safe Inside You - Radio Edit,0vgfa6PZ8QyXtsWg6Rchri,30,2015-02-13
121,Armin van Buuren,I Live For That Energy (ASOT 800 Anthem),7Fqb5u0eNnz5AXwFHFEmTx,31,2016-12-01
122,Armin van Buuren,Burned With Desire - Rising Star Vocal Mix,6epMd3J2SvQt303DZaiES2,31,2003-11-01
123,Armin van Buuren,Suddenly Summer - Original Mix,2h46kmf6QQms2HP9ezz8Rf,26,2012-03-12
124,Armin van Buuren,United - Extended Mix,69xU62D9n1lYorIdFVoAV1,39,2018-08-03
125,Armin van Buuren,Great Spirit,6UOUR1yagi29vs9MSbGnGp,33,2016-12-12
126,Armin van Buuren,Embrace - Andrew Rayel Remix,6w8IviS9CutPkZfW5m9VDq,29,2016-07-10
127,Armin van Buuren,Stellar [Armin van Buuren presents Gaia] - Original Mix,5GMQERVSNWTlhZmYyzwOBs,23,2011-10-17
128,Armin van Buuren,I Need You (feat. Olaf Blackwood) - Andrew Rayel Remix,6MSclFdTv0femHkQGiyDsI,26,2017-08-10
129,Armin van Buuren,D# Fat - Original Mix,1RDSc1VEq75TxyFOMgtWTu,27,2013-03-11
130,Armin van Buuren,Together (In A State Of Trance) - Original Mix,5hCPFtSkRr5R52NCxIQO4i,26,2015-01-09
131,Armin van Buuren,Communication - David Gravell Remix,5cqBbin1RCRDAB8uK9UXNk,28,2017-01-05
132,Armin van Buuren,Waiting For The Night - Extended Version,31q0es7FeBzUChzAYYN6GN,27,2013-01-21
133,Armin van Buuren,Blah Blah Blah - Alyx Ander Remix,06j8zT59eswJR2Iy0w5zhN,28,2018-07-06
134,Armin van Buuren,Our Origin,3qbPz06AJbf1X7EMfwOwHG,32,2018-07-23
135,Armin van Buuren,Status Excessu D (The Official A State Of Trance 500 Anthem) - Radio Edit,5YDrnZr2oMKSem47wrdY6y,26,2011-03-16
136,Armin van Buuren,This Is A Test - Arkham Knights Remix,1jrstO1Akuqmi7ULbBUKb4,26,2017-09-14
137,Armin van Buuren,Sunny Days - Tom Swoon Remix,4VrKGCxJG9Csx4r5Fgb8UT,24,2017-09-08
138,Armin van Buuren,Therapy - Throttle Extended Remix,0UhzckY3DPpnUcwF3lODLP,21,2018-06-01
139,Armin van Buuren,Blah Blah Blah - Zany Remix,4CDIrcdi08vpc9aswuKjAV,30,2018-07-06
140,Armin van Buuren,Together (In A State Of Trance) - Radio Edit,7eoD3ZZXyyBGndJkcaU8fV,27,2015-01-09
141,Armin van Buuren,Feels So Good - Armin van Buuren Club Mix,45xF9Aze9EnWu2FEAwqT0E,20,2011-07-04
142,Armin van Buuren,Alone - Thomas Newson Radio Edit,7aPIseZIWf8UQK9cWvbLHP,24,2014-06-23
143,Armin van Buuren,Another You,2Xb7F45LVOGA32CSLpnJYr,25,2015-05-08
144,Armin van Buuren,Another You - Pretty Pink Extended Remix,2u94O24YVy7btybIUrvlFs,21,2015-06-19
145,Armin van Buuren,In and Out of Love - Lost Frequencies Remix,4ItMPRwuIFf6kFCVovFNdd,35,2015-03-16
146,Armin van Buuren,Another You - CID Extended Remix,7aIJ4snE39xO8wxqC8jNgu,20,2015-08-15
147,Armin van Buuren,Don't Give Up On Me,5sthbQUxnxbzV3iSH6KXcW,32,2019-03-29
148,Armin van Buuren,Lifting You Higher (ASOT 900 Anthem) - Blasterjaxx Remix,3BUP3hBLuhuyKoguqpKh4a,27,2019-02-22
149,Armin van Buuren,Off The Hook - Fisherman & Hawkins Remix,4J97cSWxEpxDgwkSINmXcM,24,2016-07-28
150,Armin van Buuren,If It Ain't Dutch,30DsuDsNq26rCn30NNzoH6,27,2016-01-18
151,Armin van Buuren,Dominator - Bass Modulators Remix,5e3mHnOYv1buQDUMURI5gq,31,2016-10-24
152,Armin van Buuren,You Are Too,3gbTowpVQ5l9zj6XfKF9yb,27,2018-09-19
153,Armin van Buuren,Youtopia,5WDJVvRamkmpeG2JZiYpbA,29,2011-11-28
154,Armin van Buuren,Strong Ones - MÖWE Extended Remix,5aHNg8HpZavsaf6EbczgP9,21,2015-11-06
155,Armin van Buuren,I Need You (feat. Olaf Blackwood) - Extended Club Mix,720pdK0SRtCaNRSvXykySd,26,2017-01-13
156,Armin van Buuren,Drowning - Avicii Remix,56ZvFmFJCD7YrhPFQA1Jkc,22,2011-03-15
157,Armin van Buuren,Embrace - Arty Remix,7s6arzhMdOSgyK6OEgJxrI,23,2016-06-10
158,Armin van Buuren,Broken Tonight - Original Mix,3eEgTsGl9507cUEQN6RFZc,20,2009-10-26
159,Armin van Buuren,Wild Wild Son - Fatum Remix,10giErztB7GQIPNaqZCP66,21,2019-01-18
160,Armin van Buuren,Another You - Headhunterz Remix,5sFw1twSjzjYFee17HoVA9,25,2015-05-09
161,Armin van Buuren,I'll Listen - Radio Edit,2dp7BcHmNiQtWn7DlzWsPx,24,2012-09-10
162,Armin van Buuren,Sunny Days - Jay Hardway Remix,3dgkj4J4i8MlfH2LF1300q,24,2017-09-08
163,Armin van Buuren,Panta Rhei - Radio Edit,0X9a9uwguUDfVMAgqJsVMa,25,2015-03-23
